tag	nonce	classical	n_shots	rung	ms	pair_ms	sim_ms	stream_fp
sj2d2	78904999674081	6	9024	9024	9096	3768	5328	570c47a44f2a76dc5d48e57f6cd26136
sj2d2	79042438627553	8	9024	9024	7323	2537	4786	7d878021a27d03300326760b2f033d36
sj2d2	79179877581025	4	9024	9024	9498	2851	6646	c8cedc146c56499283eecad52ce616bf
sj2d2	79317316534497	3	9024	9024	8284	3334	4949	4067a427e5fac6f0078e6e8dfe33da81
sj2d2	79454755487969	7	9024	9024	9945	4443	5502	c8b9004fa18c834bbd295fd5a186e918
sj2d2	79592194441440	7	9024	9024	9805	2090	7715	603ac1b2aed286b8e4d8bf06c7226dfd
sj2d2	79592194441441	3	9024	9024	9462	2398	7064	c8762301a7a55f3f7b857197b6de23d9
sj2d2	79729633394913	5	9024	9024	9303	2272	7031	cc9039291e6dcfd08283c2008a7ba353
sj2d2	79867072348385	5	9024	9024	7529	2152	5376	c389dc7ce61b2f5e68bde9886f7b69c2
sj2d2	80004511301857	3	9024	9024	7346	1882	5464	36c43681bac2ed3b3e5c2fdf960c377e
sj2d2	80141950255329	6	9024	9024	7663	2381	5281	58fb05e48ea379c6f02379b72f61dcf2
sj2d2	80279389208801	6	9024	9024	7162	1819	5343	4123efddcecabb86c2250b2b735e9e3b
sj2d2	80416828162273	6	9024	9024	8359	2441	5917	109a46e33a95657828262ce066d281eb
sj2d2	80554267115745	4	9024	9024	7661	2293	5367	ffc3629ed607da06238eaaeec299f769
sj2d2	80691706069216	11	9024	9024	9224	3450	5774	665d45726e8108fc88fc4aff19e3ebd4
sj2d2	80691706069217	9	9024	9024	7407	2321	5085	2f79db094823038eddeab155f7513ab0
sj2d2	80829145022689	5	9024	9024	8263	3156	5106	6e26fc00f87e2d403086a05403706834
sj2d2	80966583976161	7	9024	9024	6482	2245	4236	7a04b8340e8b6fee648122de896cb8f2
sj2d2	81104022929633	4	9024	9024	9771	2064	7707	315c264a8988d3053335877c7a5fb45d
sj2d2	81241461883105	5	9024	9024	9118	3631	5487	b9a4fd25de08074d1ba677395bc01ebc
sj2d2	81378900836577	2	9024	9024	9585	2624	6961	8222cc22922d110818d2f681e9514642
sj2d2	81516339790049	9	9024	9024	8494	2117	6377	d56c11e4cf3d4424b15394b58d9c9b21
sj2d2	81653778743521	3	9024	9024	8194	2649	5545	e31194c44f1dc5a744c06a0999586dbb
sj2d2	81791217696992	8	9024	9024	8626	3242	5383	e47eae198902fdb8d08cfdfd914c2b9c
sj2d2	81791217696993	5	9024	9024	8438	2046	6391	11593128b5ec6b216020d39e3525937d
sj2d2	81928656650465	8	9024	9024	7246	2437	4808	509e4233256e5bcdb67c185eec8ca415
sj2d2	82066095603937	2	9024	9024	6731	2324	4406	153b08bcce2f3bfc0fc1a8bb92741555
sj2d2	82203534557409	10	9024	9024	7635	3076	4558	e643ea89597313e35fa800eadf227d7e
sj2d2	82340973510881	4	9024	9024	9319	2178	7140	18e3c474b0b43e20aa4c59cd21f18c3b
sj2d2	82478412464353	8	9024	9024	7690	2450	5239	326a56d5f117d8b044c7646ff7f6ceab
sj2d2	82615851417825	9	9024	9024	7875	2675	5200	379b23c069a19d10bc19cea401406432
sj2d2	82753290371297	3	9024	9024	7736	2506	5229	175c9a3ca12268d08bd9677239f079c9
sj2d2	82890729324768	4	9024	9024	7121	2443	4677	80b742e1bd582e9b33ad69d79befc647
sj2d2	82890729324769	1	9024	9024	7132	2690	4441	0351462efe6617902cc5edc136ea371a
sj2d2	83028168278241	9	9024	9024	8806	2050	6755	8dbe77e146510c3d3249124987f82d14
sj2d2	83165607231713	8	9024	9024	8081	2701	5379	cf7c06c0e78d8d8401ec4c10e9697692
sj2d2	83303046185185	5	9024	9024	10534	3513	7020	1f1a0f3808a75563fb210ac9ff4d30e3
sj2d2	83440485138657	3	9024	9024	8264	3223	5040	f8780355a5f55a779687c0df7569e218
sj2d2	83577924092129	1	9024	9024	9511	3476	6034	f8f8e95437f18a110421a1176048def8
sj2d2	83715363045601	4	9024	9024	7621	2863	4757	36ebafb033569fa9ee4bd87f9a3d742b
sj2d2	83852801999073	2	9024	9024	6915	2576	4338	f8ed18535e1bf8a183769e3b6f86b163
sj2d2	83990240952544	5	9024	9024	7134	2087	5047	651a998af4cdb25a1eaae1676e7debc2
sj2d2	83990240952545	6	9024	9024	6481	1898	4582	5263fc31a163a59bc8a24a63e54f82b8
sj2d2	84127679906017	3	9024	9024	7183	2327	4855	ca2b4cb136589ab2039e39b3bf0c2c6e
sj2d2	84265118859489	8	9024	9024	9144	2501	6643	999bdc85c2d7a06f7838301d8adf47de
sj2d2	84402557812961	6	9024	9024	7893	2811	5082	c8d4d2e4823cc2d4add02f425dbb4916
sj2d2	84539996766433	1	9024	9024	7068	2436	4632	c36209bbc087b0867756f88d66e2ca23
sj2d2	84677435719905	8	9024	9024	9520	3564	5956	5b93fd8cdd365207a0694f0b1d54144b
sj2d2	84814874673377	9	9024	9024	5773	1892	3880	6760b5c5d43177833184ba5e2ee69324
sj2d2	84952313626849	8	9024	9024	7728	2657	5070	de0ae1e3b939585d7dc7f671551c7e00
sj2d2	85089752580320	8	9024	9024	6592	1746	4846	56e896eb94d7e294ef1d3990881a8cb9
sj2d2	85089752580321	11	9024	9024	6851	2493	4358	89ec477ef309605374de5b1a8cb44715
sj2d2	85227191533793	9	9024	9024	6917	1852	5064	b6e0d2250158e3861d661143ce55587e
sj2d2	85364630487265	7	9024	9024	7429	2188	5241	95ff4579aba2e553989a74e7c7f7acc7
sj2d2	85502069440737	6	9024	9024	7799	2658	5141	8e9a5edf497dfd3313943ed13ec1ba1c
sj2d2	85639508394209	3	9024	9024	7828	1979	5848	930d9aeb69290963359479af16438311
sj2d2	85776947347681	2	9024	9024	6374	1791	4582	df3951ef366145321f64fe562cceb397
sj2d2	85914386301153	8	9024	9024	7179	2411	4768	e7ff7f6ca520b692124f2f0ac93e7a7c
sj2d2	86051825254625	6	9024	9024	7055	1909	5145	2095a8e4eb257bfe612fcc867d88a433
