tag	nonce	classical	n_shots	rung	ms	pair_ms	sim_ms	stream_fp
i259s0	85639508394209	19	9024	9024	3008	1089	1919	4d00d677baf530360d67c184bcc6a0a2
i259s0	85776947347681	14	9024	9024	3466	1200	2266	9a460e4502f3a00e9fe4dca6cf54798d
i259s0	85914386301153	21	9024	9024	2827	920	1906	49efa853e7180a773ba9634eafd57e69
i259s0	86051825254625	12	9024	9024	4882	1466	3416	1536e767b27c29a8883fb9f0a255acc8
i259s0	86189264208096	27	9024	9024	5941	1425	4515	7a5c4a61614b4f00819e1c4c68ee1fb2
i259s0	86189264208097	14	9024	9024	3919	1430	2489	9ad077d9ab778f8779e3366a2e8b6359
i259s0	86326703161569	18	9024	9024	3196	1065	2131	4c5b2277c6c5dd5db86a14714d3ef0d4
i259s0	86464142115041	17	9024	9024	2364	805	1559	cab9e87006e517daa1cefd153e38f01a
i259s0	86601581068513	18	9024	9024	3567	1171	2395	012dee54f9ec0b0b9c3f10ea151c6078
i259s0	86739020021985	13	9024	9024	7305	2292	5012	fec0d30f240fada0fadb61c1d76bf5cf
i259s0	86876458975457	25	9024	9024	3391	1258	2132	0e81cb557da49a0b3df7fb104c6a783c
i259s0	87013897928929	9	9024	9024	2855	964	1891	d5deb82beda2a2b8e34ce2a33909fe8e
i259s0	87151336882401	16	9024	9024	3501	1158	2342	19e018604f73e25d294adab3b99bed54
i259s0	87288775835872	13	9024	9024	7551	2335	5215	cf4ed90ad6ce6cdd3822746339a3bc35
i259s0	87288775835873	21	9024	9024	2384	837	1547	e6aa2943a60603d38a2a7cb39f295cf3
i259s0	87426214789345	20	9024	9024	5173	1481	3691	2430e12aa11c5ed3127c59fcd6dba2df
i259s0	87563653742817	19	9024	9024	3802	1304	2498	9d5ba120c3e149f4adfef2ff6a1d418c
i259s0	87701092696289	12	9024	9024	2986	1023	1963	f547ac821a415c67dcd4d29462b4de27
i259s0	87838531649761	17	9024	9024	2350	802	1548	e00a98671edc0b0814827fa3c6772952
i259s0	87975970603233	18	9024	9024	3606	1204	2401	71c18d2d406c9289fb630cf23a624036
i259s0	88113409556705	19	9024	9024	7376	2352	5023	2e36d9a3cb403ad25bea029d85ab1c35
i259s0	88250848510177	17	9024	9024	3370	1211	2158	e637885ce20b984ac5d8ca4da74f7fa8
i259s0	88388287463648	17	9024	9024	5226	1377	3849	1135aae5280a8942774e592361cf70be
i259s0	88388287463649	17	9024	9024	2900	983	1917	af7812093a8bbef4c4a1a1b253c1501c
i259s0	88525726417121	14	9024	9024	3553	1167	2385	b2ab7e2b3aaf98bcfee333a09a030554
i259s0	88663165370593	15	9024	9024	2355	817	1537	26a1ca7c7b0ef59d60fb8fce5d95e4a8
i259s0	88800604324065	16	9024	9024	3927	1409	2518	3abc45c656b0e67cc665110a31cc6e48
i259s0	88938043277537	21	9024	9024	3790	1345	2444	e0205f0e5671b137f157950f31ae50e5
i259s0	89075482231009	13	9024	9024	3120	1061	2059	bcc477b4377dd4aac5df313494cf287c
i259s0	89212921184481	15	9024	9024	1927	664	1262	fb6bbc701fcc31b8e765098179343cb3
i259s0	89350360137953	18	9024	9024	3600	1184	2416	253a9757a76a79a388617ae154909c8b
i259s0	89487799091424	18	9024	9024	7447	2354	5093	0fa4e82a467238f830d320c837e42b18
i259s0	89487799091425	15	9024	9024	7114	2275	4838	d308de9afe41b57b1f053c6343036d12
i259s0	89625238044897	18	9024	9024	3163	1119	2044	96c1125d6d2198e8420cb43f899f4b33
i259s0	90587310719200	23	9024	9024	4163	1417	2746	face8a4ad2d6e3a4c0571875f54aa85e
i259s0	91686822346976	14	9024	9024	4094	1357	2737	20398ededd6caf240263521da8402753
i259s0	92786333974752	21	9024	9024	7531	2322	5208	f7123ef52a7ce5cb4f390b08654dc8b7
i259s0	93885845602528	20	9024	9024	7588	2329	5259	2f89d51c00e020c1bcc2f8778e306768
i259s0	94985357230304	14	9024	9024	4226	1457	2769	cb27eb12600f9c07dc23e91f63c3825e
i259s0	96084868858080	21	9024	9024	7575	2347	5228	d848c9df9516adc4ead24d6a0e89661e
i259s0	97184380485856	17	9024	9024	4928	1360	3568	7250a390c3a62c7c7bcf79d8c954744a
i259s0	98283892113632	17	9024	9024	7409	2307	5102	be9323506846c702975b802ba6581912
i259s0	99383403741408	25	9024	9024	7281	2507	4773	e7c499240a17e2df4d7c2e7061cb4212
i259s0	100482915369184	13	9024	9024	5494	1477	4016	ad9727f129b3822fb2561a1c7a17d513
i259s0	101582426996960	21	9024	9024	4908	1963	2945	a39ac1810ebca81b591475879345c573
i259s0	102681938624736	17	9024	9024	7474	2428	5046	e94741fad8835c06b066d3f4825f2e45
i259s0	103781450252512	14	9024	9024	4089	1383	2706	28b7fb1243983385135e4f72e6b91a57
i259s0	104880961880288	18	9024	9024	4823	1342	3481	08674391b0e9a3f7ad7bee5ec2f41aa5
i259s0	105980473508064	15	9024	9024	7546	2314	5232	03b7f59c5cdcf096c1c3386949330ab9
i259s0	107079985135840	18	9024	9024	4484	1910	2574	1dee10d7141bfe47ede85dfab5eb86a0
i259s0	108179496763616	24	9024	9024	7509	2340	5169	2d69f7b5ab0f577ba6388285ddd60e68
i259s0	109279008391392	22	9024	9024	5890	2535	3354	6fd704a0601203d38d50c1966d1883ad
i259s0	110378520019168	16	9024	9024	7493	2315	5177	bd1a2d030f605522eb28120dc4b36f37
i259s0	111478031646944	19	9024	9024	4606	1457	3148	627a1f77cb3c535712e2efb731884116
i259s0	112577543274720	18	9024	9024	7385	2242	5142	03a733c3ca496fb6793c41e3692b40af
i259s0	113677054902496	17	9024	9024	4037	1422	2615	d4c8089f98d0258fadb71a1f817ce21b
i259s0	114776566530272	24	9024	9024	7670	2539	5130	7f333b45bbf4e7393ec22be50d70d4e6
i259s0	115876078158048	16	9024	9024	7592	2489	5103	6c5f19adfe9a9a9e401c43b6ce68287e
i259s0	116975589785824	20	9024	9024	7480	2496	4983	de87763b5d540b2df5ec5fe84742a328
i259s0	118075101413600	9	9024	9024	7503	2356	5146	461f390b04958030c13349f0c9ff5530
i259s0	119174613041376	14	9024	9024	4981	1473	3508	023967bd9145d0e2fccf06d6634aa25c
i259s0	120274124669152	24	9024	9024	7506	2351	5154	f0172af30f85850dedeb87e0b25499b1
i259s0	121373636296928	10	9024	9024	6256	1990	4265	127311e12f10265fd3b0dafb4447c691
i259s0	122473147924704	16	9024	9024	7228	2119	5109	dca79c7a35b2b0efb2bda161b346a4db
i259s0	123572659552480	22	9024	9024	4404	1515	2888	06ebbf6cffacbe0b70aa5a899485770d
i259s0	124672171180256	20	9024	9024	6865	2256	4608	c1caa8cb7bd4fc043df4e913f26c1e7b
i259s0	125771682808032	16	9024	9024	4186	1437	2749	d716da8e3d33013775dd551bd5a6ede8
i259s0	126871194435808	11	9024	9024	4116	1387	2728	bdbbc357ed7e77f274d4b88e40576622
i259s0	127970706063584	14	9024	9024	7525	2609	4915	0133b8ac53dbd812ee7fa504608e3185
i259s0	129070217691360	15	9024	9024	3998	1323	2675	4e7f46ca0a5d0c121f9800420d3174a2
i259s0	130169729319136	15	9024	9024	7370	2232	5138	d5f3bbce1fbc49a46db6664b7df659a5
i259s0	131269240946912	9	9024	9024	7349	2233	5115	433f09c9fe74b77f9338f13bb004dcd1
i259s0	132368752574688	19	9024	9024	7488	2392	5095	d91ce786e4efc69d0eaf3cf5d59c68a4
i259s0	133468264202464	18	9024	9024	4026	1413	2613	1c5243b22779e579e5bc7f13f671b289
i259s0	134567775830240	9	9024	9024	7496	2357	5138	cad8cf19908447cd4c33522639270b9b
i259s0	135667287458016	14	9024	9024	7017	2369	4648	8abec76ca51255a96e5221713aa97215
i259s0	136766799085792	16	9024	9024	7648	2492	5155	ad0e55e5f24da4a4a51b1ec72302ba3d
i259s0	137866310713568	21	9024	9024	7345	2343	5002	6e1fc2ed409c270eb4bd77d15bd007bd
